script_id,imdb_id,title,year,gross
1831,tt0188453,Birthday Girl,2001,7
8237,tt0454082,Black Christmas,2006,21
7243,tt0265086,Black Hawk Down,2001,167
744,tt0096933,Black Rain,1989,99
1838,tt0462200,Black Snake Moan,2006,12
1841,tt0947798,Black Swan,2010,117
1843,tt0120611,Blade,1998,129
1846,tt0187738,Blade II,2002,122
1849,tt0083658,Blade Runner,1982,4
3936,tt0359013,Blade: Trinity,2004,73
7935,tt0445934,Blades of Glory,2007,149
1853,tt0124298,Blast from the Past,1999,45
8301,tt0071230,Blazing Saddles,1974,558
1858,tt0115710,Blood and Wine,1996,2
8743,tt0450259,Blood Diamond,2006,76
1861,tt0086979,Blood Simple.,1984,4
8744,tt0309377,Blood Work,2002,39
4589,tt0112533,Bloodfist VII: Manhunt,1995,
1863,tt0221027,Blow,2001,81
8479,tt2334873,Blue Jasmine,2013,35
3947,tt1120985,Blue Valentine,2010,10
1866,tt0090756,Blue Velvet,1986,20
1870,tt0106447,"Bodies, Rest & Motion",1993,1
1872,tt0082089,Body Heat,1981,
757,tt0106453,Body of Evidence,1993,27
6582,tt0758774,Body of Lies,2008,47
3951,tt0181984,Boiler Room,2000,27
8392,tt2494362,Bone Tomahawk,2015,
1879,tt0166110,Bones,2001,11
1882,tt0061418,Bonnie and Clyde,1967,
1884,tt0118749,Boogie Nights,1997,50
7351,tt0452592,Borderland,2007,
8025,tt0096969,Born on the Fourth of July,1989,153
1893,tt0115734,Bottle Rocket,1996,2
1895,tt0115736,Bound,1996,7
8628,tt0106471,Boxing Helena,1993,3
3958,tt1781782,Boy Who Never Slept,2006,
5386,tt1065073,Boyhood,2014,27
5287,tt0112571,Boys on the Side,1995,46
7796,tt0101507,Boyz n the Hood,1991,118
771,tt0112573,Braveheart,1995,151
774,tt0088846,Brazil,1985,24
8760,tt0118771,Breakdown,1997,94
8560,tt0120618,Breakfast of Champions,1999,
1921,tt0078902,Breaking Away,1979,
1922,tt0393109,Brick,2005,2
8410,tt1430612,Brick Mansions,2014,21
1925,tt1478338,Bridesmaids,2011,185
5388,tt3682448,Bridge of Spies,2015,74
3966,tt0810784,Bright Star,2009,5
776,tt0163988,Bringing Out the Dead,1999,28
1928,tt0092699,Broadcast News,1987,113
8765,tt0388795,Brokeback Mountain,2005,112
779,tt0115759,Broken Arrow,1996,138
1933,tt0913425,Broken Embraces,2009,5
5389,tt2381111,Brooklyn,2015,31
3970,tt1210042,Brooklyn's Finest,2009,31
3972,tt0765010,Brothers,2009,33
781,tt0315327,Bruce Almighty,2003,350
1939,tt0103893,Buffy the Vampire Slayer,1992,34
1940,tt0094812,Bull Durham,1988,107
6707,tt0109348,Bullets Over Broadway,1994,27
1943,tt1462758,Buried,2010,1
1945,tt1126591,Burlesque,2010,43
785,tt0887883,Burn After Reading,2008,73
1948,tt0307879,Burning Annie,2004,
3980,tt0068327,Cabaret,1972,219
7216,tt0961722,Cabin Fever 2: Spring Fever,2009,
7206,tt0080487,Caddyshack,1980,128
6527,tt3442006,Cake,2014,1
3984,tt0040202,Call Northside 777,1948,
8019,tt2234003,Calvary,2014,3
1953,tt2387411,Candle to Water,2012,
8645,tt0103919,Candyman,1992,54
7382,tt0101540,Cape Fear,1991,163
1955,tt0379725,Capote,2005,38
7179,tt0077294,Capricorn One,1978,
8500,tt0458339,Captain America: The First Avenger,2011,194
6040,tt1535109,Captain Phillips,2013,114
6611,tt0101545,Career Opportunities,1991,23
7328,tt0106519,Carlito's Way,1993,77
5390,tt2402927,Carol,2015,
7516,tt1939659,Carrie,2013,37
1957,tt1216475,Cars 2,2011,209
1962,tt0795351,Case 39,2009,15
1963,tt0112641,Casino,1995,84
789,tt0162222,Cast Away,2000,377
6443,tt0097027,Casualties of War,1989,40
1968,tt0264464,Catch Me If You Can,2002,245
7463,tt0065528,Catch-22,1970,
790,tt0327554,Catwoman,2004,56
1973,tt0173716,Cecil B. DeMented,2000,2
1974,tt1477837,Cedar Rapids,2011,7
1975,tt1405365,Celeste & Jesse Forever,2012,3
793,tt0337921,Cellular,2004,44
8505,tt0115857,Chain Reaction,1996,40
795,tt0824747,Changeling,2008,43
